labels,polynomials,possibly nonmaximal primes,probably nonmaximal primes,torsion primes
235542.a.942168.1,"[[-2, -2, -3, 0, 1, 2], [1, 0, 0, 1]]",,{2},{2}
235543.a.235543.1,"[[6, 13, 9, 0, -2], [1, 1, 0, 1]]",,{},{}
235551.a.706653.1,"[[0, -2, 0, 1, 1, -1], [1, 0, 0, 1]]",,{2},{}
235579.a.235579.1,"[[0, 1, -3, 2, -2, 1], [1, 0, 0, 1]]",,{2},{}
235586.a.471172.1,"[[1, -5, 8, -6], [0, 1, 1, 1]]",,{},{}
235590.a.235590.1,"[[2, 8, 8, 0, -1, 0, -2], [1, 1, 1]]",,{2},{2}
235591.a.235591.1,"[[1, -4, 0, 2, 2, 1], [1, 1, 0, 1]]",,{},{}
235600.a.942400.1,"[[-16, -2, 13, 0, -3], [0, 0, 0, 1]]",,{2},{}
235606.a.471212.1,"[[0, 0, -2, 0, 1, -1, 1], [1, 1]]",,{2},{}
235624.a.942496.1,"[[-1, 1, 0, 0, -2, 1], [0, 1, 0, 1]]",,{2},{}
235636.a.942544.1,"[[0, 0, 0, -2, 2, 0, 1], [1]]",,{},{}
235637.a.235637.1,"[[0, 1, 1, 1, 3, -2], [1, 1, 0, 1]]",,{},{}
235689.a.707067.1,"[[1, 0, -1, 0, 1, 1], [0, 1, 1]]",,{2},{2}
235701.a.707103.1,"[[1, 1, 1, -1, 1], [0, 0, 0, 1]]",,{},{}
235713.a.707139.1,"[[2, 0, 5, 2, -7, -1, 2], [1]]",,{2},{}
235748.a.942992.1,"[[2, 7, 7, 0, -5, -2, 1], [1]]",,{},{}
235761.a.707283.1,"[[1, 4, 0, -9, 1, 3], [0, 1]]",,{2},{}
235776.a.235776.1,"[[3, -6, 4, 0, -2], [0, 0, 1, 1]]",,{2},{}
235776.b.235776.1,"[[0, 1, -24, -27, -9], [0, 1, 0, 1]]",,{2},{}
235778.a.471556.1,"[[0, 0, -1, 0, -2, -1, -1], [1, 1]]",,{},{}
235780.a.471560.1,"[[2, 3, -3, 1, 0, -1], [1, 1, 0, 1]]",,{},{}
235780.b.471560.1,"[[0, 7, 22, 42, 21, 4], [1, 1, 0, 1]]",,{},{}
235782.a.471564.1,"[[0, -2, 3, -1, -1, 1], [0, 1]]",,{2},{2}
235788.a.471576.1,"[[-10, 4, 1, 0, 0, -1], [1, 1, 0, 1]]",,{},{}
235799.a.235799.1,"[[-2, 1, -23, 3, 4, -1], [1, 1, 1]]",,{2},{2}
235829.a.235829.1,"[[0, -1, 3, -2, 1, 1], [1]]",,{2},{}
235837.a.235837.1,"[[3, -3, 1, -3], [1, 0, 1, 1]]",,{3},{3}
235844.a.471688.1,"[[-2, -4, -1, 1, -1, -1], [1, 1, 0, 1]]",,{},{}
235845.a.235845.1,"[[60, 211, 232, 62, -19, 1], [1, 1, 1]]",,"{2, 3}",{3}
235859.a.235859.1,"[[10, 4, -5, -5, 0, 1], [1, 0, 0, 1]]",,{},{}
235862.a.943448.1,"[[-1, 2, -9, -9, 0, 1], [1, 1]]",,{2},{}
235863.a.707589.1,"[[-1, -3, -1, 2, 1], [1, 0, 1, 1]]",,{2},{}
235874.a.235874.1,"[[-108, -15, 46, 1, -6], [1, 0, 0, 1]]",,{3},{3}
235897.a.235897.1,"[[0, 0, 2, 0, 1, -1], [1, 1]]",,{2},{}
235897.b.235897.1,"[[-15, 39, -45, 25, -7], [1, 1, 0, 1]]",,{},{}
235963.a.235963.1,"[[-1, 2, -7, 5, -6, 2, -1], [0, 1, 1]]",,{2},{2}
235993.a.235993.1,"[[0, 3, 10, 4, -5], [1, 0, 0, 1]]",,{},{}
236019.a.236019.1,"[[-6, -3, -2, -3, 0, 1], [0, 0, 0, 1]]",,{2},{}
236019.b.236019.1,"[[6, 3, 2, -1, -2], [0, 0, 0, 1]]",,{2},{}
236032.a.236032.1,"[[3, -6, -2, 0, 1, 2], [1, 1, 1, 1]]",,{},{}
236032.b.236032.1,"[[-1, 0, 0, 0, -1], [1, 1, 1, 1]]",,{},{}
236048.a.944192.1,"[[0, -1, 2, 1, -1], [1, 1, 1, 1]]",,{},{}
236052.a.708156.1,"[[3, -21, 37, 9, -42, -13, -1], [0, 1, 1]]",,{2},{2}
236081.a.236081.1,"[[0, 0, 0, 3, 2, 1], [1, 1, 1]]",,{2},{}
236084.a.236084.1,"[[-1, 1, -1, 0, 1, 1], [1, 0, 0, 1]]",,{},{}
236086.a.236086.1,"[[-1, -1, -1, -3, -1, 1], [0, 1, 1]]",,{2},{2}
236091.a.236091.1,"[[2, 3, 2, -1, -1], [0, 0, 0, 1]]",,{},{}
236124.a.708372.1,"[[-5, -10, 1, 10, 3, -2, -2], [1, 0, 0, 1]]",,{2},{}
236132.a.944528.1,"[[-1, 4, -4, -4, 0, 1], [1, 0, 0, 1]]",,{2},{2}
236175.a.708525.1,"[[-2, -1, 1], [1, 1, 1, 1]]",,{2},{}
236202.a.708606.1,"[[2, -4, 1, -1, 1], [0, 1, 0, 1]]",,{2},{}
236217.a.708651.1,"[[0, -1, -8, -18, -10, 3], [0, 1]]",,{2},{2}
236229.a.236229.1,"[[2, -2, 2, 1, -1, 1], [1, 0, 0, 1]]",,{2},{2}
236267.a.236267.1,"[[-3, 7, 10, -1, -3], [0, 0, 0, 1]]",,{},{}
236277.a.236277.1,"[[-1, 3, 0, -10, 7, 1], [1]]",,{2},{}
236287.a.236287.1,"[[4, 1, 7, 2, 2], [0, 1, 1, 1]]",,{},{}
236293.a.236293.1,"[[0, 1, 3, 7, 7, 1], [1]]",,{2},{}
236331.a.236331.1,"[[0, -2, 5, 11, -7, 1], [1]]",,{2},{}
236331.b.708993.1,"[[-1, 1, -1, 1, -1, -1], [1, 1, 0, 1]]",,{},{}
236352.a.709056.1,"[[0, 0, 0, -1, -3, 0, 2], [1, 1]]",,{2},{}
236363.a.236363.1,"[[0, -1, -4, -4, 0, 1], [1]]",,{2},{}
236379.a.709137.1,"[[-36, 21, 3, 9, -4, -1, -1], [0, 1, 0, 1]]",,{2},{}
236400.a.945600.1,"[[-15, 4, 11, -1, -3], [0, 0, 0, 1]]",,{2},{}
236412.a.945648.1,"[[-1, -1, -4, 0, -5, 1, -2], [1, 1, 1]]",,{},{}
236433.a.236433.1,"[[-3, 6, 0, -5, 0, 1], [0, 1, 1]]",,{2},{2}
236438.a.472876.1,"[[-1, -2, 6, -4, -1, 1], [1, 0, 0, 1]]",,{2},{}
236439.a.709317.1,"[[-1, 1, -1, 0, 2, 1], [1]]",,{2},{}
236439.b.709317.1,"[[-1, -3, -6, -5, -2, 1], [1]]",,{2},{}
236472.a.945888.1,"[[6, -18, -5, 26, 16, 2], [0, 1]]",,{2},{}
236477.a.236477.1,"[[-17, 18, 0, -9, 0, 1], [1, 0, 1, 1]]",,{},{}
236480.a.236480.1,"[[2, -22, 37, 3, -7, 1], [1, 0, 1]]",,{2},{2}
236529.a.236529.1,"[[0, -1, 0, 1, 0, 0, -1], [1, 1, 0, 1]]",,{},{}
236530.a.236530.1,"[[2, -4, 1, 0, 0, 1], [0, 1, 0, 1]]",,{},{}
236541.a.236541.1,"[[-17, -36, 6, 26, -12], [1, 0, 1, 1]]",,{},{}
236541.b.236541.1,"[[-1, -1, 2, 0, -2, 1], [1, 1, 0, 1]]",,{},{}
236544.a.236544.1,"[[3, 1, 5, 2, 2, 1], []]",,{2},{2}
236544.b.236544.1,"[[-3, 1, -5, 2, -2, 1], []]",,{2},{2}
236549.a.236549.1,"[[3, -12, 12, 0, -4], [1, 0, 0, 1]]",,{2},{}
236557.a.236557.1,"[[0, 2, 0, -2, -1, 1], [1, 0, 1]]",,{2},{}
236571.a.709713.1,"[[11, 6, 11, 3, 3], [1, 0, 1, 1]]",,{2},{}
236572.a.473144.1,"[[-6, -5, -4, -4, 0, 1], [1, 0, 0, 1]]",,{2},{}
236576.a.473152.1,"[[0, 1, 1, -3, 1], [0, 1, 0, 1]]",,{2},{}
236581.a.236581.1,"[[-1, 0, 3, 0, -2, 1], [1, 1, 1]]",,{2},{}
236605.a.236605.1,"[[-2, -1, 1, 1], [0, 1, 1, 1]]",,{},{}
236608.a.236608.1,"[[1, -4, 2, 6, -2, -4, -1], [0, 1]]",,{},{}
236619.a.236619.1,"[[206, -186, 44, 12, -7], [1, 0, 0, 1]]",,{2},{2}
236622.a.709866.1,"[[-6, 27, -43, 21, -1, 3], [1, 1]]",,{2},{}
236624.a.946496.1,"[[1, 2, -4, 1], [0, 0, 0, 1]]",,{},{}
236640.a.473280.1,"[[-13, -50, -58, -11, 11], [0, 0, 1, 1]]",,{2},{2}
236657.a.236657.1,"[[3, -3, -2, 0, 2, 1], [1, 0, 0, 1]]",,"{2, 3}",{3}
236661.a.236661.1,"[[1, 3, -1, 7, 16, -15, 3], [1]]",,{5},{5}
236661.b.236661.1,"[[-1, 6, -4, 3, -8, -1, -3], [1]]",,{},{}
236690.a.236690.1,"[[-1, 7, -11, 0, 5, 1], [0, 1]]",,{2},{}
236716.a.946864.1,"[[0, -1, -8, -9, 19, -8, 1], [0, 1]]",,{2},{}
236725.a.236725.1,"[[11, -26, 2, 21, 2, -5, -6], [0, 1]]",,{2},{2}
236736.a.473472.1,"[[-1, -1, -2, -1, -2, 0, -1], [0, 1, 0, 1]]",,{2},{2}
236736.b.946944.1,"[[1, -1, -3, 5, 0, -6, 3], [0, 1]]",,{2},{2}
236757.a.236757.1,"[[5, 14, 2, -7, -1, 1], [0, 1]]",,{2},{}
236757.b.236757.1,"[[-1, 1, -1, 0, -1], [1, 1, 1, 1]]",,{},{}
236757.c.710271.1,"[[-1, -3, 1, 8, 0, -6, 2], [1, 1, 0, 1]]",,{},{}
236769.a.710307.1,"[[-1, 4, -4, -6, 1, 3], [1, 0, 1]]",,{2},{2}
236769.b.710307.1,"[[0, -3, -9, -7, 0, 1], [0, 1]]",,{2},{2}
236781.a.236781.1,"[[0, 0, -2, -2, 1, -1], [1, 1]]",,{2},{}
236792.a.947168.1,"[[-1, 1, -1, -1, 3, 0, -2], [1, 0, 1]]",,{2},{2}
236806.a.236806.1,"[[7, -15, 10, 0, -3, 1], [0, 1]]",,{2},{}
236810.a.236810.1,"[[1, 6, 7, -6, 0, 1], [0, 1, 1]]",,{2},{}
236813.a.236813.1,"[[-7, -2, 4, 0, -1], [1, 0, 1, 1]]",,{},{}
236837.a.236837.1,"[[0, 1, -8, 22, -9, 1], [0, 1]]",,{2},{2}
236851.a.236851.1,"[[-3, -1, 12, -9, 1], [0, 0, 0, 1]]",,{},{}
236853.a.710559.1,"[[2, 3, -2, -3], [1, 0, 1, 1]]",,{},{}
236864.a.236864.1,"[[2, 4, -1, -3, 1], [0, 0, 0, 1]]",,{},{}
236864.b.236864.1,"[[-2, 4, 1, -5, 0, 2], [0, 0, 0, 1]]",,{},{}
236866.a.473732.1,"[[0, 0, -1, 0, -1, -2], [1, 1, 1]]",,{2},{}
236868.a.947472.1,"[[-3, -4, -5, -1, 0, 1], [1, 0, 1]]",,{2},{}
236871.a.236871.1,"[[0, 2, 2, 0, -1], [1, 1, 0, 1]]",,{},{}
236891.a.236891.1,"[[-2, 12, -33, 47, -31, 1], [1]]",,{2},{}
236896.a.473792.1,"[[-4, 6, 8, -2, -3], [0, 0, 0, 1]]",,{2},{}
236958.a.710874.1,"[[-1, -4, -7, -6, -2, 1], [0, 1, 1]]",,{2},{}
236960.a.473920.1,"[[1, -1, -1, -1, 6, -6, 2], [0, 1]]",,{2},{}
236992.a.236992.1,"[[2, 8, 11, 7, 4, 1], [0, 0, 0, 1]]",,{2},{}
236996.a.473992.1,"[[72, 21, 34, 6, 5], [1, 0, 1, 1]]",,{2},{}
236996.b.473992.1,"[[2, 1, -4, -2, 1], [1, 0, 1, 1]]",,{2},{}
237019.a.237019.1,"[[3, -11, 10, -2, 4], [0, 0, 0, 1]]",,{},{}
237019.b.237019.1,"[[-1, -1, -2, -1, -2, -1, -1], [1]]",,{},{}
237032.a.474064.1,"[[0, 1, 0, -1, -2, 2], [0, 1]]",,{2},{2}
237032.b.474064.1,"[[0, 1, 1, 5, 6, 2], [0, 1]]",,{2},{2}
237056.a.948224.1,"[[2, 4, 4, 2], [0, 0, 1, 1]]",,{2},{}
237058.a.474116.1,"[[1, 3, 3, 1, 1, 1], [0, 1]]",,{2},{}
237087.a.711261.1,"[[0, -1, -1, 5, -5, 0, 1], [0, 1, 1]]",,{2},{2}
237089.a.237089.1,"[[4, -5, -3, 2], [0, 1, 1, 1]]",,{},{}
237121.a.237121.1,"[[4, 2, 5, 2, 2], [1, 0, 1, 1]]",,{},{}
237128.a.474256.1,"[[3, 4, 2], [1, 1, 1, 1]]",,{},{}
237141.a.711423.1,"[[0, 0, -2, -2, 3, -3], [1, 1]]",,{2},{}
237161.a.237161.1,"[[-7, 11, 1, -8, 0, 1], [1, 0, 1, 1]]",,{},{}
237168.a.711504.1,"[[-1, 6, -5, 0, 4, 2], [0, 1, 0, 1]]",,{2},{}
237173.a.237173.1,"[[0, -1, 1, 2, 1, 1], [1]]",,{2},{}
237180.a.948720.1,"[[1, -5, -9, 1, 5, 0, -1], [1, 0, 0, 1]]",,{2},{}
237189.a.237189.1,"[[0, -1, -2, 0, -1, 1], [0, 1, 1]]",,{2},{2}
237209.a.237209.1,"[[19, -4, -23, 4, 7, -1, -1], [1, 1, 0, 1]]",,{2},{}
237239.a.237239.1,"[[-1, -4, -3, 1, 0, -1], [1, 1, 0, 1]]",,{},{}
237248.a.474496.1,"[[0, 1, 0, -3, -3], [1, 1, 1, 1]]",,{},{}
237264.a.237264.1,"[[3, -3, 1, 2, -2, 1], [1, 0, 1]]",,{2},{}
237278.a.237278.1,"[[2, 2, 1, 1], [0, 1, 0, 1]]",,{},{}
237329.a.237329.1,"[[47, 10, 24, 4, 4], [1, 0, 1, 1]]",,{},{}
237371.a.237371.1,"[[-2, 3, 2, -3, 0, 0, -1], [0, 0, 1]]",,{2},{2}
237376.a.237376.1,"[[-2, -4, -5, -3, -1], [0, 0, 0, 1]]",,{},{}
237386.a.474772.1,"[[1, 7, 3, -1, 0, 1], [0, 1, 0, 1]]",,{2},{}
237404.a.949616.1,"[[1, 3, 2, 2, 3, 0, 1], [1, 1]]",,{},{}
237408.a.474816.1,"[[-22, 18, 9, -8, -2, 1], [0, 0, 0, 1]]",,{},{}
237410.a.949640.1,"[[21, 28, 0, -10, -1, 1], [1, 1]]",,{2},{}
237442.a.237442.1,"[[-7, 1, 10, -3, -3], [0, 0, 1, 1]]",,{},{}
237452.a.237452.1,"[[-3, -3, 2, 2], [1, 0, 0, 1]]",,{2},{}
237458.a.474916.1,"[[0, 0, -5, -8, 9, -2], [1, 1, 1]]",,{2},{2}
237465.a.237465.1,"[[-5, -7, -9, -5, -2], [0, 0, 0, 1]]",,{3},{}
237488.a.237488.1,"[[2, 2, -2, -3, 0, 1], [0, 0, 1]]",,{2},{}
237488.b.949952.1,"[[0, 5, 33, 77, 12, 2], [1, 0, 1]]",,{2},{}
237503.a.237503.1,"[[-1, 0, 0, 1, 0, -1], [1, 1, 0, 1]]",,{},{}
237504.a.237504.1,"[[21, 30, -6, -20, -4, 0, -1], [0, 1]]",,{2},{2}
237508.a.950032.1,"[[0, 1, 0, 2, 11, -6, 1], [1]]",,{2},{}
237521.a.237521.1,"[[-2, 2, -1, 0, -1], [1, 1, 0, 1]]",,{2},{}
237524.a.475048.1,"[[-2, -2], [0, 1, 1, 1]]",,{},{}
237538.a.475076.1,"[[1, 1, -3, -3, 3, 1], [0, 1]]",,{2},{}
237557.a.237557.1,"[[0, -1, 4, 0, -3], [0, 1, 0, 1]]",,{2},{}
237559.a.237559.1,"[[2, 0, -3, 0, 0, -2, -1], [1, 1, 1]]",,{},{}
237568.a.475136.1,"[[-2, 0, -3, 1, -1, 1], []]",,{2},{2}
237568.b.475136.1,"[[2, 0, 3, 1, 1, 1], []]",,{2},{2}
237573.a.237573.1,"[[-1, 0, 0, -1, 0, 1], [1]]",,{2},{}
237573.b.237573.1,"[[-1, 1, -1, 0, 0, -1, 1], [1, 1]]",,"{2, 5}",{}
237593.a.237593.1,"[[-128, -9, 59, -1, -9], [0, 1, 1, 1]]",,{},{}
237595.a.237595.1,"[[0, -2, -1, 0, -2, -1], [1, 1, 1]]",,{2},{}
237616.a.950464.1,"[[-1, 2, 0, -6, 2, 4, -1], [1, 1]]",,{2},{}
237619.a.237619.1,"[[3, 3, 0, 1, 0, -1], [1, 0, 0, 1]]",,{2},{}
237628.a.475256.1,"[[-8, 9, 6, -6, -3], [1, 0, 1, 1]]",,{2},{}
237629.a.237629.1,"[[0, 0, -1, 0, 2, -4], [1, 1, 0, 1]]",,{},{}
237681.a.237681.1,"[[0, 0, -3, 2, -1, -1], [1, 1, 0, 1]]",,{},{}
237715.a.237715.1,"[[-2, -6, -6, -3], [1, 0, 1, 1]]",,{},{}
237718.a.475436.1,"[[-64, 82, -4, -21, 0, 2], [0, 1, 0, 1]]",,{2},{2}
237743.a.237743.1,"[[-12, -4, 54, 10, -85, -8, 44], [1, 1, 0, 1]]",,{},{}
237749.a.237749.1,"[[2, -1, 1, 0, -1], [1, 1, 1, 1]]",,{},{}
237766.a.475532.1,"[[2, 1, -5, -3, 3, 2], [0, 0, 1]]",,{2},{}
237781.a.237781.1,"[[0, 1, -1, 1, -1, -1, 1], [0, 1]]",,{2},{}
237789.a.713367.1,"[[-4, -5, -6, 1, 1, 2, -1], [1, 1, 1]]",,{2},{2}
237807.a.237807.1,"[[1, -2, -5, 0, 3, 1], [0, 1, 1]]",,{2},{2}
237807.b.713421.1,"[[-2, 0, 0, 3, -1, -1, -2], [1, 1, 1]]",,{2},{2}
237808.a.237808.1,"[[-30, 62, -41, 21, -4], [0, 0, 1, 1]]",,{2},{2}
237808.a.951232.1,"[[0, 2, -1, -4, 1, 2], [0, 1]]",,{2},{2}
237816.a.951264.1,"[[0, 0, 2, 2, 5, 0, 1], [1, 1]]",,{},{}
237820.a.475640.1,"[[-5, -25, -22, 41, 28, -38, 9], [0, 1, 1]]",,{2},{}
237824.a.475648.1,"[[22, 20, 22, 10, 5, 1], [0, 0, 0, 1]]",,{2},{}
237824.b.475648.1,"[[2, 0, -1, -2, 1], [0, 0, 0, 1]]",,{2},{}
237824.c.475648.1,"[[-3, -5, -11, -10, -10, -4, -2], [1]]",,{2},{}
237824.d.475648.1,"[[-1, 1, 0, 1, 3, 2], [0, 1, 0, 1]]",,{2},{}
237841.a.237841.1,"[[1, 0, 2], [1, 1, 0, 1]]",,{},{}
237859.a.237859.1,"[[2, -3, 0, 1, -1], [0, 0, 1, 1]]",,{2},{}
237861.a.713583.1,"[[-2, -5, 9, -2, -3], [1, 0, 1, 1]]",,{2},{}
237862.a.475724.1,"[[0, -4, 3, 2, -1], [1, 0, 0, 1]]",,{},{}
237862.b.475724.1,"[[0, 3, -7, 0, 3, 1], [1, 0, 0, 1]]",,{},{}
237866.a.475732.1,"[[17, 23, -1, -11, -2, 1], [1, 0, 0, 1]]",,{2},{}
237874.a.475748.1,"[[-1, 5, -12, 1, 8, 2], [1, 1, 1]]",,{2},{2}
237883.a.237883.1,"[[-15, -2, 18, -4, -4], [1, 0, 1, 1]]",,{},{}
237895.a.237895.1,"[[4, 6, -4, -5, 0, 1], [1, 1, 1]]",,{2},{2}
237897.a.713691.1,"[[0, 0, -4, -5, 8, -3], [1, 1, 1]]",,{2},{}
237908.a.951632.1,"[[5, 2, 5, 4, 3, 1], [0, 0, 0, 1]]",,{},{}
237936.a.951744.1,"[[-1, 0, 3, 0, -3, 2], [1, 0, 1]]",,{2},{}
237951.a.713853.1,"[[-1, 1, 2], [1, 1, 1, 1]]",,{2},{}
237957.a.237957.1,"[[0, -1, 4, -7, 12, 1], [1, 0, 1]]",,"{2, 5}",{5}
237977.a.237977.1,"[[2, -3, 0, 0, 1], [0, 0, 1, 1]]",,{},{}
237988.a.475976.1,"[[-1, 0, 0, 0, 0, -1, -1], [1, 1, 1]]",,{2},{}
237989.a.237989.1,"[[-86, -6, 39, 0, -6], [1, 1, 0, 1]]",,{},{}
238003.a.238003.1,"[[0, 0, -3, -5, -2, 1], [1]]",,{2},{}
238023.a.238023.1,"[[-11, 8, -1, 11, -8, -5, 3], [1, 1, 0, 1]]",,{},{}
238037.a.238037.1,"[[-1, -2, 1, 1, -3, 1], [0, 1]]",,{2},{}
238062.a.238062.1,"[[-4, 10, -20, 26, -10, 1, -6], [1, 1]]",,{2},{}
238075.a.238075.1,"[[0, -1, 1, 1, -4, 1], [0, 1, 1]]",,{2},{2}
238085.a.238085.1,"[[-1, -4, -10, -12, -6, 1], [1]]",,{2},{}
238086.a.238086.1,"[[-1, -3, 0, 0, 1, 1], [1, 0, 0, 1]]",,{},{}
238086.b.476172.1,"[[1, 0, 0, 2, -1, 1], [1, 1]]",,{2},{}
238098.a.952392.1,"[[-3, 3, 3, -3, -1, 1], [0, 1]]",,{2},{}
238112.a.476224.1,"[[-2, -3, -8, -7, -9, -4, -3], [1, 0, 1]]",,{2},{2}
238117.a.238117.1,"[[-3, -4, 4, 4, -3], [1, 0, 1, 1]]",,{},{}
238121.a.238121.1,"[[1, 0, -3, 1, 1, -2, 1], [1, 1, 1]]",,{2},{}
238121.b.238121.1,"[[0, 2, 7, 4], [1, 1, 0, 1]]",,{},{}
238129.a.238129.1,"[[0, 0, -2, -2, 4, -1, -1], [1, 1]]",,{},{}
238160.a.952640.1,"[[1, -9, 25, -21, 0, 2], [0, 1]]",,{2},{2}
238161.a.714483.1,"[[0, 4, 2, -4, -1, 1], [1, 1]]",,{2},{2}
238198.a.238198.1,"[[-6, -4, -11, -4, -6, -1, -1], [1, 0, 1]]",,{},{}
238201.a.238201.1,"[[3, -8, 6, 1, -3], [1, 1, 0, 1]]",,"{2, 3}",{3}
238211.a.238211.1,"[[2, -1, -1, -1, 0, 1], [0, 1, 0, 1]]",,{},{}
238215.a.714645.1,"[[0, 1, -2, 2, -4, 3], [0, 1]]",,{2},{2}
238215.b.714645.1,"[[2, -1, 0, 5, 4, 1], [0, 0, 1]]",,{2},{2}
238221.a.238221.1,"[[-1, -2, 0, 1, 1], [1, 1, 1, 1]]",,{},{}
238226.a.238226.1,"[[-1, -3, -5, -4, -2, 1], [1, 1]]",,{2},{}
238232.a.476464.1,"[[15, 52, 50, 0, -12, 2], [0, 1]]",,{2},{2}
238240.a.476480.1,"[[0, -1, 1, 2, -3, 2], [1]]",,{2},{}
238240.b.476480.1,"[[0, -1, 0, 4, -4, 2], [1]]",,{2},{}
238242.a.238242.1,"[[8, 3, -7, -4, 1, 1], [1, 0, 0, 1]]",,{},{}
238291.a.238291.1,"[[1, -4, 4, -3, 0, 1], [1, 1]]",,{2},{2}
238291.a.238291.2,"[[1, 16, 67, 92, -8, 1], [1, 0, 1]]",,{2},{2}
238331.a.238331.1,"[[0, 3, 13, 29, 39, 1], [1]]",,{2},{}
238332.a.238332.1,"[[0, -1, 0, 0, -3, 2, -1], [1, 1, 1]]",,{},{}
238334.a.953336.1,"[[5, -53, 129, -97, 4, 4], [1, 0, 0, 1]]",,{2},{2}
238336.a.953344.1,"[[-19, -380, 172, 1, -9, 1], []]",,{2},{2}
238348.a.238348.1,"[[1, 4, 7, 3, 2], [0, 1, 1, 1]]",,{},{}
238349.a.238349.1,"[[0, 0, 2, 2, 1], [1, 0, 0, 1]]",,{},{}
238349.b.238349.1,"[[0, 1, 0, 3, -1, 1], [0, 1]]",,{2},{2}
238377.a.238377.1,"[[-4, 9, -4, -6, 3, 0, -1], [1, 0, 1, 1]]",,{2},{}
238378.a.476756.1,"[[-301, -5, 85, 0, -8], [1, 0, 0, 1]]",,{2},{}
238379.a.238379.1,"[[1, 3, 0, -1, 1, 1], [1, 0, 1]]",,{2},{2}
238396.a.476792.1,"[[2, -4, 0, 3, -3], [1, 1, 0, 1]]",,{},{}
238400.a.238400.1,"[[3, -4, -1, -1, 1], [0, 0, 1, 1]]",,"{2, 3}",{3}
238401.a.715203.1,"[[0, 3, 10, 7, 3, 1], [1]]",,{2},{}
238411.a.238411.1,"[[0, 3, -8, 1, 4, 1], [1, 0, 1]]",,{2},{}
238425.a.238425.1,"[[-1, 3, 7, 2, -1], [1, 0, 0, 1]]",,{2},{}
238427.a.238427.1,"[[0, -1, 0, 6, -5, 1], [1]]",,{2},{}
238431.a.238431.1,"[[-2, -6, -5, 0, 1], [1, 1, 0, 1]]",,{},{}
238437.a.715311.1,"[[-1, -2, -8, 0, 4, -2], [1, 1, 0, 1]]",,{},{}
238440.a.953760.1,"[[0, 1, 1, -3, 1, -2], [1, 1]]",,"{2, 5}",{5}
238457.a.238457.1,"[[4, -6, 5, 0, -2], [1, 0, 0, 1]]",,{2},{}
238464.a.238464.1,"[[3, 2, -1, -1, 1, 1], [0, 0, 0, 1]]",,{},{}
238464.b.476928.1,"[[1, -1, -1, 2, -2, 1], [1, 0, 1]]",,{2},{}
238464.c.476928.1,"[[0, -1, 1, -1, 1, -2, 1], [0, 1]]",,{2},{}
238478.a.238478.1,"[[-1, -1, 3, 0, -1, -1], [0, 1, 1]]",,{2},{2}
238491.a.238491.1,"[[0, 1, 3, 0, -5, 1], [0, 1]]",,{2},{2}
238491.b.238491.1,"[[-1, -3, -2, 0, 0, 1], [0, 0, 0, 1]]",,{},{}
238496.a.476992.1,"[[1, -1, 3, -3, 4, -2, 2], [0, 1]]",,{2},{}
238507.a.238507.1,"[[0, 0, -3, 4, -1, 1], [1]]",,{2},{}
238512.a.238512.1,"[[-6, 18, -14, -1, 1, 1], [0, 0, 1, 1]]",,"{2, 3}",{}
238527.a.715581.1,"[[0, 0, -1, 1, 5, 3], [1]]",,{2},{}
238557.a.715671.1,"[[-2, -1, 1, 3, 0, -1, -1], [0, 1, 0, 1]]",,{2},{}
238562.a.238562.1,"[[0, 1, 2, 0, -1, -3, -1], [1, 1]]",,{},{}
238565.a.238565.1,"[[0, -2, -2, 0, 5, 5, 1], [1, 1, 0, 1]]",,{},{}
238587.a.238587.1,"[[0, 0, 0, -2, -1, 2], [1, 1, 0, 1]]",,{},{}
238589.a.238589.1,"[[0, 1, 0, -6, 3, -1], [1, 1, 0, 1]]",,{},{}
238596.a.477192.1,"[[-1, 0, -4, 2, -4, 1, -1], [1, 1, 0, 1]]",,{2},{}
238596.b.954384.1,"[[-47, -5, 22, 0, -4], [1, 0, 0, 1]]",,{2},{}
238629.a.238629.1,"[[3, 3, -2, -2], [0, 0, 1, 1]]",,{2},{}
238633.a.238633.1,"[[0, -3, 7, -6, -2, 1], [1, 1]]",,{2},{}
238657.a.238657.1,"[[0, 2, 0, 1], [1, 1, 0, 1]]",,{},{}
238657.b.238657.1,"[[-2, 0, 11, -3, -19, 4, -1], [1, 1, 0, 1]]",,{},{}
238672.a.477344.1,"[[3, 7, 4, -3, -2], [0, 1, 0, 1]]",,{},{}
238677.a.716031.1,"[[2, -1, 1, 0, -3, 1], [1, 1, 1]]",,{2},{}
238714.a.238714.1,"[[-2, 0, 17, 26, 10, -1, -1], [1, 0, 0, 1]]",,{},{}
238714.b.238714.1,"[[0, -1, 1, 1, -1, 1], [0, 1, 1]]",,{2},{2}
238722.a.238722.1,"[[-1, -1, 0, 0, 0, 0, -1], [0, 1, 0, 1]]",,{2},{}
238724.a.954896.1,"[[1, 1, 0, 1, -1, 1], [0, 1, 1]]",,{2},{}
238748.a.954992.1,"[[2, 7, 10, 4, -3, -3, 1], [0, 1, 1]]",,{},{}
238753.a.238753.1,"[[0, 0, -1, 4, 4, 1], [1, 1, 1]]",,{2},{}
238759.a.238759.1,"[[-1, 5, 6, 0, -1], [1, 0, 1, 1]]",,{},{}
238772.a.477544.1,"[[-4, 0, -1, -3, 1, -1], [1, 1, 0, 1]]",,{},{}
